#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Jan 19 14:19:26 2016

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       chip_map.ncd
#OUTPUT FILE:      chip_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,rf_bist_up_limit<18>,IOB,IO_L9N_T1_DQS_AD7N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
A2,,,GND,,,,,,,,,,,,
A3,rf_bist_up_limit<16>,IOB,IO_L8N_T1_AD14N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
A4,rf_bist_up_limit<21>,IOB,IO_L8P_T1_AD14P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
A5,rf_bist_up_limit<6>,IOB,IO_L3N_T0_DQS_AD5N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
A6,rf_bist_up_limit<5>,IOB,IO_L3P_T0_DQS_AD5P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
A7,,,VCCO_35,,,35,,,,,1.80,,,,
A8,,IOB33S,IO_L12N_T1_MRCC_16,UNUSED,,16,,,,,,,,,
A9,,IOB33S,IO_L14N_T2_SRCC_16,UNUSED,,16,,,,,,,,,
A10,,IOB33M,IO_L14P_T2_SRCC_16,UNUSED,,16,,,,,,,,,
A11,rf_bist_start_val<8>,IOB,IO_L4N_T0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A12,,,GND,,,,,,,,,,,,
A13,rf_bist_start_val<24>,IOB,IO_L9P_T1_DQS_AD3P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A14,rf_bist_start_val<26>,IOB,IO_L9N_T1_DQS_AD3N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A15,rf_bist_start_val<15>,IOB,IO_L8P_T1_AD10P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A16,rf_bist_start_val<16>,IOB,IO_L8N_T1_AD10N_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
